product_id,demand_pattern,month_index,month_id,year,actual_qty
1,Smooth,1,202401,2024,23
1,Smooth,2,202402,2024,24
1,Smooth,3,202403,2024,24
1,Smooth,4,202404,2024,22
1,Smooth,5,202405,2024,24
1,Smooth,6,202406,2024,21
1,Smooth,7,202407,2024,20
1,Smooth,8,202408,2024,21
1,Smooth,9,202409,2024,20
1,Smooth,10,202410,2024,23
1,Smooth,11,202411,2024,22
1,Smooth,12,202412,2024,21
1,Smooth,13,202501,2025,24
1,Smooth,14,202502,2025,26
1,Smooth,15,202503,2025,27
1,Smooth,16,202504,2025,26
1,Smooth,17,202505,2025,25
1,Smooth,18,202506,2025,22
1,Smooth,19,202507,2025,22
1,Smooth,20,202508,2025,21
1,Smooth,21,202509,2025,22
1,Smooth,22,202510,2025,22
1,Smooth,23,202511,2025,22
1,Smooth,24,202512,2025,24
1,Smooth,25,202601,2026,25
1,Smooth,26,202602,2026,26
1,Smooth,27,202603,2026,27
1,Smooth,28,202604,2026,25
1,Smooth,29,202605,2026,26
1,Smooth,30,202606,2026,25
1,Smooth,31,202607,2026,23
1,Smooth,32,202608,2026,24
1,Smooth,33,202609,2026,22
1,Smooth,34,202610,2026,23
1,Smooth,35,202611,2026,23
1,Smooth,36,202612,2026,25
2,Smooth,1,202401,2024,21
2,Smooth,2,202402,2024,25
2,Smooth,3,202403,2024,20
2,Smooth,4,202404,2024,23
2,Smooth,5,202405,2024,23
2,Smooth,6,202406,2024,22
2,Smooth,7,202407,2024,20
2,Smooth,8,202408,2024,19
2,Smooth,9,202409,2024,20
2,Smooth,10,202410,2024,19
2,Smooth,11,202411,2024,18
2,Smooth,12,202412,2024,23
2,Smooth,13,202501,2025,23
2,Smooth,14,202502,2025,25
2,Smooth,15,202503,2025,25
2,Smooth,16,202504,2025,23
2,Smooth,17,202505,2025,25
2,Smooth,18,202506,2025,23
2,Smooth,19,202507,2025,21
2,Smooth,20,202508,2025,23
2,Smooth,21,202509,2025,20
2,Smooth,22,202510,2025,19
2,Smooth,23,202511,2025,20
2,Smooth,24,202512,2025,22
2,Smooth,25,202601,2026,26
2,Smooth,26,202602,2026,25
2,Smooth,27,202603,2026,28
2,Smooth,28,202604,2026,26
2,Smooth,29,202605,2026,24
2,Smooth,30,202606,2026,23
2,Smooth,31,202607,2026,23
2,Smooth,32,202608,2026,22
2,Smooth,33,202609,2026,22
2,Smooth,34,202610,2026,23
2,Smooth,35,202611,2026,23
2,Smooth,36,202612,2026,24
3,Smooth,1,202401,2024,29
3,Smooth,2,202402,2024,27
3,Smooth,3,202403,2024,27
3,Smooth,4,202404,2024,28
3,Smooth,5,202405,2024,27
3,Smooth,6,202406,2024,28
3,Smooth,7,202407,2024,23
3,Smooth,8,202408,2024,27
3,Smooth,9,202409,2024,24
3,Smooth,10,202410,2024,26
3,Smooth,11,202411,2024,26
3,Smooth,12,202412,2024,28
3,Smooth,13,202501,2025,28
3,Smooth,14,202502,2025,31
3,Smooth,15,202503,2025,31
3,Smooth,16,202504,2025,33
3,Smooth,17,202505,2025,31
3,Smooth,18,202506,2025,28
3,Smooth,19,202507,2025,29
3,Smooth,20,202508,2025,25
3,Smooth,21,202509,2025,28
3,Smooth,22,202510,2025,25
3,Smooth,23,202511,2025,29
3,Smooth,24,202512,2025,28
3,Smooth,25,202601,2026,29
3,Smooth,26,202602,2026,30
3,Smooth,27,202603,2026,34
3,Smooth,28,202604,2026,35
3,Smooth,29,202605,2026,32
3,Smooth,30,202606,2026,33
3,Smooth,31,202607,2026,29
3,Smooth,32,202608,2026,27
3,Smooth,33,202609,2026,28
3,Smooth,34,202610,2026,28
3,Smooth,35,202611,2026,30
3,Smooth,36,202612,2026,31
4,Smooth,1,202401,2024,21
